name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating,total_sales,platform_group,console_type,rating_sem
Get Up and Dance,Wii,2011,Misc,0.06,0.04,0.0,0.01,65.0,71.5,T,0.11,Nintendo,Home console,teen
Geten no Hana,PSP,2013,Misc,0.0,0.0,0.02,0.0,68.0,75.0,Pending,0.02,Playstation,Portable console,pending
Geten no Hana: Yume Akari,PSP,2014,Misc,0.0,0.0,0.01,0.0,68.0,75.0,Pending,0.01,Playstation,Portable console,pending
Getsuei Gakuen: kou,PSV,2013,Adventure,0.0,0.0,0.01,0.0,71.0,76.0,Pending,0.01,Playstation,Portable console,pending
Gex,PS,1995,Platform,0.49,0.33,0.0,0.06,73.5,83.0,Pending,0.8800000000000001,Playstation,Home console,pending
Gex 3: Deep Cover Gecko,N64,1999,Platform,0.17,0.04,0.0,0.0,70.0,75.0,Pending,0.21000000000000002,Nintendo,Home console,pending
Gex 3: Deep Cover Gecko,PS,1999,Platform,0.3,0.2,0.0,0.03,73.5,83.0,Pending,0.53,Playstation,Home console,pending
Gex 64: Enter the Gecko,N64,1998,Action,0.2,0.05,0.0,0.0,70.0,75.0,Pending,0.25,Nintendo,Home console,pending
Gex: Enter the Gecko,PS,1998,Platform,0.32,0.22,0.0,0.04,73.5,83.0,Pending,0.5800000000000001,Playstation,Home console,pending
Ghost Pirates of Vooju Island,PC,2009,Adventure,0.0,0.02,0.0,0.0,66.0,75.0,T,0.02,PC,Home console,teen
Ghost Rider,PSP,2007,Action,0.22,0.0,0.0,0.02,49.0,57.0,T,0.24,Playstation,Portable console,teen
Ghost Squad,Wii,2007,Shooter,0.42,0.21,0.08,0.07,69.0,75.0,T,0.78,Nintendo,Home console,teen
Ghost Trick: Phantom Detective,DS,2010,Adventure,0.17,0.07,0.12,0.02,83.0,90.0,T,0.38,Nintendo,Portable console,teen
Ghost in the Shell,PS,1997,Simulation,0.06,0.04,0.0,0.01,73.5,83.0,Pending,0.11,Playstation,Home console,pending
Ghost in the Shell: Stand Alone Complex,PS2,2004,Adventure,0.08,0.06,0.0,0.02,70.0,80.0,Pending,0.16,Playstation,Home console,pending
Ghost in the Shell: Stand Alone Complex,PSP,2005,Adventure,0.06,0.0,0.0,0.01,61.0,74.0,T,0.06999999999999999,Playstation,Portable console,teen
Ghostbusters,2600,1985,Puzzle,0.42,0.03,0.0,0.0,70.0,75.0,Pending,0.44999999999999996,Other,Home console,pending
Ghostbusters (2016),PS4,2016,Action,0.04,0.0,0.0,0.01,73.0,70.0,Pending,0.05,Playstation,Home console,pending
Ghostbusters (2016),XOne,2016,Action,0.04,0.0,0.0,0.01,76.0,68.0,Pending,0.05,Xbox,Home console,pending
Ghostbusters II,2600,1989,Action,0.2,0.01,0.0,0.0,70.0,75.0,Pending,0.21000000000000002,Other,Home console,pending
Ghostbusters: The Video Game,DS,2009,Action,0.24,0.12,0.0,0.04,55.0,60.0,E,0.39999999999999997,Nintendo,Portable console,everyone
Ghostbusters: The Video Game,PS2,2009,Action,0.15,0.04,0.0,0.24,64.0,87.0,E10+,0.43,Playstation,Home console,everyone 10 and older
Ghostbusters: The Video Game,PS3,2009,Action,0.34,0.36,0.0,0.14,78.0,79.0,T,0.84,Playstation,Home console,teen
Ghostbusters: The Video Game,PSP,2009,Action,0.16,0.01,0.0,0.02,54.0,47.0,E10+,0.19,Playstation,Portable console,everyone 10 and older
Ghostbusters: The Video Game,Wii,2009,Action,0.59,0.2,0.0,0.07,76.0,85.0,E10+,0.8600000000000001,Nintendo,Home console,everyone 10 and older
